ID,OrderID,Customer Id,Product,Region,OrderDate,Quantity,UnitPrice
1,1001,Cus1278,Shirt,North,2023-01-31,5,20
2,1002,Cus1022,Shoes,South,2023-02-28,10,50
3,1003,Cus1064,Hat,East,2023-03-31,7,15
4,1004,Cus1327,Socks,West,2023-04-30,3,5
5,1005,Cus1309,Jacket,North,2023-05-31,2,60
6,1006,Cus1141,Gloves,South,2023-06-30,8,25
7,1007,Cus1199,Shirt,East,2023-07-31,12,40
8,1008,Cus1385,Shoes,West,2023-08-31,4,15
9,1009,Cus1410,Hat,North,2023-09-30,7,10
10,1010,Cus1458,Socks,South,2023-10-31,9,30
11,1011,Cus1233,Jacket,East,2023-11-30,6,35
12,1012,Cus1234,Gloves,West,2023-12-31,5,20
13,1013,Cus1138,Shirt,North,2024-01-31,8,50
14,1014,Cus1489,Shoes,South,2024-02-29,10,60
15,1015,Cus1462,Hat,East,2024-03-31,11,10
16,1016,Cus1341,Socks,West,2024-04-30,4,20
17,1017,Cus1069,Jacket,North,2024-05-31,3,30
18,1018,Cus1288,Gloves,South,2024-06-30,12,25
19,1019,Cus1093,Shoes,East,2024-07-31,5,15
20,1020,Cus1259,Hat,West,2024-08-31,7,50
21,1001,Cus1117,Shirt,North,2024-09-30,5,20
22,1002,Cus1237,Shoes,South,2024-10-31,10,50
23,1003,Cus1154,Hat,East,2024-11-30,7,15
24,1004,Cus1147,Socks,West,2024-12-31,3,5
25,1005,Cus1152,Jacket,North,2025-01-31,2,60
26,1006,Cus1417,Gloves,South,2025-02-28,8,25
27,1007,Cus1294,Shirt,East,2025-03-31,12,40
28,1008,Cus1131,Shoes,West,2025-04-30,4,15
29,1009,Cus1205,Hat,North,2025-05-31,7,10
30,1010,Cus1415,Socks,South,2025-06-30,9,30
31,1011,Cus1054,Jacket,East,2025-07-31,6,35
32,1012,Cus1032,Gloves,West,2025-08-31,5,20
33,1013,Cus1451,Shirt,North,2025-09-30,8,50
34,1014,Cus1322,Shoes,South,2025-10-31,10,60
35,1015,Cus1046,Hat,East,2025-11-30,11,10
36,1016,Cus1308,Socks,West,2025-12-31,4,20
37,1017,Cus1176,Jacket,North,2026-01-31,3,30
38,1018,Cus1069,Gloves,South,2026-02-28,12,25
39,1019,Cus1405,Shoes,East,2026-03-31,5,15
40,1020,Cus1491,Hat,West,2026-04-30,7,50
41,1001,Cus1456,Shirt,North,2026-05-31,5,20
42,1002,Cus1256,Shoes,South,2026-06-30,10,50
43,1003,Cus1381,Hat,East,2026-07-31,7,15
44,1004,Cus1135,Socks,West,2026-08-31,3,5
45,1005,Cus1160,Jacket,North,2026-09-30,2,60
46,1006,Cus1107,Gloves,South,2026-10-31,8,25
47,1007,Cus1352,Shirt,East,2026-11-30,12,40
48,1008,Cus1322,Shoes,West,2026-12-31,4,15
49,1009,Cus1394,Hat,North,2027-01-31,7,10
50,1010,Cus1499,Socks,South,2027-02-28,9,30
51,1011,Cus1202,Jacket,East,2027-03-31,6,35
52,1012,Cus1173,Gloves,West,2027-04-30,5,20
53,1013,Cus1181,Shirt,North,2027-05-31,8,50
54,1014,Cus1431,Shoes,South,2027-06-30,10,60
55,1015,Cus1230,Hat,East,2027-07-31,11,10
56,1016,Cus1382,Socks,West,2027-08-31,4,20
57,1017,Cus1236,Jacket,North,2027-09-30,3,30
58,1018,Cus1106,Gloves,South,2027-10-31,12,25
59,1019,Cus1410,Shoes,East,2027-11-30,5,15
60,1020,Cus1460,Hat,West,2027-12-31,7,50
61,1001,Cus1035,Shirt,North,2028-01-31,5,20
62,1002,Cus1332,Shoes,South,2028-02-29,10,50
63,1003,Cus1150,Hat,East,2028-03-31,7,15
64,1004,Cus1355,Socks,West,2028-04-30,3,5
65,1005,Cus1341,Jacket,North,2028-05-31,2,60
66,1006,Cus1203,Gloves,South,2028-06-30,8,25
67,1007,Cus1443,Shirt,East,2028-07-31,12,40
68,1008,Cus1397,Shoes,West,2028-08-31,4,15
69,1009,Cus1241,Hat,North,2028-09-30,7,10
70,1010,Cus1277,Socks,South,2028-10-31,9,30
71,1011,Cus1435,Jacket,East,2028-11-30,6,35
72,1012,Cus1048,Gloves,West,2028-12-31,5,20
73,1013,Cus1090,Shirt,North,2029-01-31,8,50
74,1014,Cus1270,Shoes,South,2029-02-28,10,60
75,1015,Cus1139,Hat,East,2029-03-31,11,10
76,1016,Cus1323,Socks,West,2029-04-30,4,20
77,1017,Cus1361,Jacket,North,2029-05-31,3,30
78,1018,Cus1414,Gloves,South,2029-06-30,12,25
79,1019,Cus1026,Shoes,East,2029-07-31,5,15
80,1020,Cus1054,Hat,West,2029-08-31,7,50
81,1001,Cus1134,Shirt,North,2029-09-30,5,20
82,1002,Cus1322,Shoes,South,2029-10-31,10,50
83,1003,Cus1295,Hat,East,2029-11-30,7,15
84,1004,Cus1243,Socks,West,2029-12-31,3,5
85,1005,Cus1161,Jacket,North,2030-01-31,2,60
86,1006,Cus1121,Gloves,South,2030-02-28,8,25
87,1007,Cus1483,Shirt,East,2030-03-31,12,40
88,1008,Cus1073,Shoes,West,2030-04-30,4,15
89,1009,Cus1338,Hat,North,2030-05-31,7,10
90,1010,Cus1012,Socks,South,2030-06-30,9,30
91,1011,Cus1433,Jacket,East,2030-07-31,6,35
92,1012,Cus1416,Gloves,West,2030-08-31,5,20
93,1013,Cus1233,Shirt,North,2030-09-30,8,50
94,1014,Cus1059,Shoes,South,2030-10-31,10,60
95,1015,Cus1006,Hat,East,2030-11-30,11,10
96,1016,Cus1056,Socks,West,2030-12-31,4,20
97,1017,Cus1243,Jacket,North,2031-01-31,3,30
98,1018,Cus1045,Gloves,South,2031-02-28,12,25
99,1019,Cus1075,Shoes,East,2031-03-31,5,15
100,1020,Cus1015,Hat,West,2031-04-30,7,50
101,1001,Cus1493,Shirt,North,2031-05-31,5,20
102,1002,Cus1068,Shoes,South,2031-06-30,10,50
